id,categories
9539,Action / Dexterity
9559,Memory
9559,Children's Game
9577,Modern Warfare
9577,Wargame
9597,Animals
9597,Children's Game
9597,Memory
9609,Wargame
9609,Novel-based
9609,Adventure
9609,Territory Building
9609,Fighting
9609,Fantasy
9616,Territory Building
9616,Ancient
9625,Political
9625,Territory Building
9625,Age of Reason
9625,Civilization
9625,Fighting
9674,Abstract Strategy
9823,Wargame
9823,World War II
9852,Children's Game
9852,Murder/Mystery
9852,Deduction
10140,Educational
10140,Real-time
10140,Card Game
10140,Trivia
10206,Action / Dexterity
10206,Card Game
10272,Wargame
10272,Pike and Shot
10445,Movies / TV / Radio theme
10445,Science Fiction
10445,Fantasy
10445,Collectible Components
10445,Card Game
10445,Fighting
10453,Medical
10453,Children's Game
10453,Animals
10453,Action / Dexterity
10547,Adventure
10547,Exploration
10547,Miniatures
10547,Horror
10550,Real-time
10550,Word Game
10630,Miniatures
10630,World War II
10630,Wargame
10681,Children's Game
10681,Card Game
10681,Humor
10681,Party Game
10681,Word Game
10814,Memory
10814,Horror
10814,Children's Game
10934,Memory
10934,Humor
10934,Deduction
10934,Party Game
11104,Card Game
11168,Miniatures
11168,Book
11168,Wargame
11168,World War II
11170,Miniatures
11170,Fighting
11170,Fantasy
11170,Adventure
11170,Science Fiction
11231,Party Game
11231,Humor
11231,Animals
11231,Action / Dexterity
11394,Children's Game
11394,Memory
11396,Fantasy
11618,Math
11618,Card Game
11618,Word Game
11634,Trains
11634,Abstract Strategy
11778,Animals
11778,Children's Game
11778,Action / Dexterity
11825,Nautical
11825,World War II
11825,Wargame
11945,Spies/Secret Agents
11945,Party Game
11945,Deduction
11945,Word Game
11971,Party Game
11971,Bluffing
11971,Card Game
11973,Animals
11973,Real-time
11973,Educational
11973,Card Game
11973,Children's Game
12002,Card Game
12002,Economic
12005,Travel
12005,Novel-based
12157,Bluffing
12157,Word Game
12157,Party Game
12171,Action / Dexterity
12318,Word Game
12318,Card Game
12333,Wargame
12333,Modern Warfare
12333,Political
12346,Fantasy
12346,Memory
12346,Children's Game
12493,Negotiation
12493,Political
12493,Science Fiction
12493,Civilization
12493,Wargame
12493,Space Exploration
12495,Medieval
12495,Nautical
12589,Card Game
12589,Mafia
12616,Educational
12616,Children's Game
12681,Economic
12681,Civilization
12692,Humor
12692,Horror
12692,Card Game
12750,Economic
12750,Transportation
12750,Trains
12826,Children's Game
12826,Action / Dexterity
12891,Age of Reason
12891,Wargame
12902,Medieval
12902,City Building
12920,Word Game
12920,Party Game
12920,Humor
12942,Card Game
12962,Territory Building
12962,Animals
12962,Environmental
12995,Exploration
12995,Fighting
12995,Maze
12995,Fantasy
12995,Adventure
12996,Children's Game
12996,Dice
12996,Educational
13004,Ancient
13122,City Building
13122,Civilization
13122,Economic
13122,Environmental
13122,Medieval
13164,Deduction
13164,Animals
13164,Children's Game
13166,Movies / TV / Radio theme
13166,Electronic
13166,Animals
13166,Action / Dexterity
13166,Children's Game
13230,Memory
13230,Abstract Strategy
13230,Children's Game
13308,Nautical
13328,Abstract Strategy
13367,Party Game
13367,Children's Game
13436,Children's Game
13436,Animals
13507,Party Game
13507,Card Game
13642,Political
13642,Card Game
13642,Age of Reason
13780,Medieval
13780,Political
13823,Card Game
13823,Fantasy
13875,Abstract Strategy
13875,Children's Game
13875,Maze
13884,Fantasy
13884,Economic
14017,Nautical
14017,Exploration
14032,Children's Game
14032,Action / Dexterity
14105,Wargame
14105,Ancient
14188,Abstract Strategy
14254,Racing
14254,Action / Dexterity
14940,Deduction
14996,Trains
15062,Adventure
15062,Bluffing
15062,Deduction
15062,Medieval
15062,Fantasy
15062,Mythology
15110,Racing
15110,Party Game
15110,Card Game
15126,World War II
15126,Wargame
15271,Party Game
15271,Word Game
15290,Card Game
15290,Environmental
15318,Renaissance
15363,Science Fiction
15363,Wargame
15363,Fighting
15363,Exploration
15364,Economic
15390,Card Game
15390,Farming
15511,Territory Building
15511,Medieval
15511,Abstract Strategy
15512,Adventure
15512,Exploration
15512,Bluffing
15712,Action / Dexterity
15712,Card Game
15817,Pirates
15817,Nautical
15817,Transportation
15818,Dice
15818,Animals
15954,Civilization
15954,Medieval
15954,Nautical
15954,Wargame
15954,Ancient
15954,Exploration
15985,Fighting
15985,Sports
15985,Miniatures
15985,Fantasy
15985,Expansion for Base-game
15985,Collectible Components
15987,Adventure
15987,Fighting
15987,Horror
15987,Novel-based
16035,Card Game
16035,Humor
16035,Party Game
16160,Word Game
16160,Party Game
16160,Children's Game
16160,Deduction
16216,Medieval
16267,Trains
16366,Card Game
16366,Mature / Adult
16366,Humor
16369,Novel-based
16369,Action / Dexterity
16369,Children's Game
16395,Abstract Strategy
16395,Territory Building
16496,Dice
16496,Card Game
16496,Ancient
16497,Abstract Strategy
16497,Print & Play
16693,Number
16693,Card Game
